Species,trait,value,source,notes
Trametes versicolor,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Plant Pathogen-|Wood Saprotroph|"")"
Trametes versicolor,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Plant Pathogen-|Wood Saprotroph|"")"
Trematosphaeria pertusa,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Trematosphaeria pertusa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Trematosphaeria pertusa,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Undefined Saprotroph-|Wood Saprotroph|"")"
Tremella mesenterica,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic-Facultative Yeast-Microfungus-Tremelloid"")"
Tremella mesenterica,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Tremella mesenterica,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|-Lichen Parasite"")"
Tremella mesenterica,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|-Lichen Parasite""); lichen parasite mapped to mycoparasite"
Tricharina praecox,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Tricharina praecox,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Tricharina praecox,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Tricharina praecox,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Undefined Saprotroph|"")"
Trichoderma aggressivum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichoderma aggressivum,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Fungal Parasite|-Plant Pathogen-Wood Saprotroph"") -- CAUTION: Trichoderma is trophically/ecologically diverse across species; this genus-level composite call may not reflect Trichoderma aggressivum specifically, verify before relying on it"
Trichophyton benhamiae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Trichophyton benhamiae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Trichophyton benhamiae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Trichophyton benhamiae,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Undefined Saprotroph"")"
Tuber melanosporum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Gasteroid"")"
Tuber melanosporum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Symbiotroph"")"
Tuber melanosporum,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Ectomycorrhizal|"")"
Uncinocarpus reesii,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Uncinocarpus reesii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Ustilaginoidea virens,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Ustilaginoidea virens,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Ustilaginoidea virens,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Ustilaginoidea virens,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Clavicipitaceous Endophyte-|Plant Pathogen|"")"
Ustilaginoidea virens,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Clavicipitaceous Endophyte-|Plant Pathogen|"")"
Vairimorpha ceranae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Vairimorpha ceranae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Vairimorpha ceranae,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|"")"
Vanderwaltozyma polyspora,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Vanderwaltozyma polyspora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Vanrija albida,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Vanrija albida,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Vanrija albida,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Vavraia culicis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Vavraia culicis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Vavraia culicis,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|"")"
Verruconis gallopava,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Verruconis gallopava,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Verruconis gallopava,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Verruconis gallopava,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Undefined Saprotroph"")"
Verticillium alfalfae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Verticillium alfalfae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Verticillium alfalfae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Verticillium alfalfae,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Verticillium alfalfae,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph"")"
Verticillium alfalfae,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph"")"
Verticillium alfalfae,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph"")"
Verticillium alfalfae,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph"")"
Vittaforma corneae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Vittaforma corneae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Vittaforma corneae,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|"")"
Wallemia ichthyophaga,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Wallemia ichthyophaga,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Westerdykella ornata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Westerdykella ornata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Wickerhamiella sorbophila,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Wickerhamiella sorbophila,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Xylaria bambusicola,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus-Xylarioid"")"
Xylaria bambusicola,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Xylaria bambusicola,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Xylaria bambusicola,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|"")"
Xylaria bambusicola,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|"")"
Xylona heveae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Xylona heveae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Xylona heveae,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Xylona heveae,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Endophyte|-Plant Saprotroph"")"
Xylona heveae,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Endophyte|-Plant Saprotroph"")"
Yamadazyma tenuis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Yamadazyma tenuis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Zasmidium cellare,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Zasmidium cellare,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zasmidium cellare,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zasmidium cellare,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Zasmidium cellare,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Zygosaccharomyces rouxii,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Facultative Yeast-Yeast"")"
Zygosaccharomyces rouxii,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zygosaccharomyces rouxii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zygosaccharomyces rouxii,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-|Undefined Saprotroph|"")"
Zygotorulaspora mrakii,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
